(A) + (B);Produção da Equipe;[(A) + (B)] / (D);(E) + (F) + (G) + (H);BDI:23,01%;Preço Unitário Total
0,00;1,0000;0,00;136,48;31,40;
167,88;0,00;1,0000;0,00;175,03;40,27;
215,30;0,00;1,0000;0,00;18,40;4,23;
22,63;0,00;1,0000;0,00;18,40;4,23;
22,63;0,00;1,0000;0,00;11,79;2,71;
14,50;0,00;1,0000;0,00;12,29;2,82;
15,11;0,00;1,0000;0,00;246,08;56,62;
302,70;0,00;1,0000;0,00;212,28;48,84;
261,12;0,00;1,0000;0,00;318,09;73,19;
391,28;0,00;1,0000;0,00;560,90;129,06;
689,96;0,00;1,0000;0,00;110,96;25,53;
136,49;0,00;1,0000;0,00;52,57;12,09;
64,66;0,00;1,0000;0,00;61,91;14,24;
76,15;0,00;1,0000;0,00;13,43;3,09;
16,52;0,00;1,0000;0,00;16,37;3,76;
20,13;0,00;1,0000;0,00;19,75;4,54;
24,29;0,00;1,0000;0,00;31,68;7,28;
38,96;0,00;1,0000;0,00;35,86;8,25;
44,11;0,00;1,0000;0,00;42,53;9,78;
52,31;12,46;1,0000;12,46;16,52;3,80;
20,32;12,65;1,0000;12,65;16,32;3,75;
20,07;14,07;1,0000;14,07;18,07;4,15;
22,22;12,55;1,0000;12,55;16,84;3,87;
20,71;12,89;1,0000;12,89;18,05;4,15;
22,20;14,07;1,0000;14,07;18,07;4,15;
22,22;15,16;1,0000;15,16;19,13;4,40;
23,53;11,69;1,0000;11,69;15,71;3,61;
19,32;0,00;1,0000;0,00;5.828,24;1.341,07;
7.169,31;0,00;1,0000;0,00;6.054,67;1.393,17;
7.447,84;0,00;1,0000;0,00;6.280,59;1.445,16;
7.725,75;0,00;1,0000;0,00;6.511,59;1.498,31;
8.009,90;0,00;1,0000;0,00;9.919,17;2.282,40;
12.201,57;0,00;1,0000;0,00;10.221,34;2.351,93;
12.573,27;0,00;1,0000;0,00;10.512,02;2.418,81;
12.930,83;0,00;1,0000;0,00;10.839,62;2.494,19;
13.333,81;0,00;1,0000;0,00;11.220,90;2.581,92;
13.802,82;0,00;1,0000;0,00;11.623,73;2.674,62;
14.298,35;0,00;1,0000;0,00;11.987,04;2.758,21;
14.745,25;0,00;1,0000;0,00;12.466,51;2.868,54;
15.335,05;0,00;1,0000;0,00;12.850,50;2.956,90;
15.807,40;0,00;1,0000;0,00;13.250,76;3.048,99;
16.299,75;0,00;1,0000;0,00;13.654,07;3.141,80;
16.795,87;0,00;1,0000;0,00;13.974,36;3.215,50;
17.189,86;0,00;1,0000;0,00;14.321,44;3.295,36;
17.616,80;0,00;1,0000;0,00;14.637,96;3.368,19;
18.006,15;0,00;1,0000;0,00;14.957,26;3.441,66;
18.398,92;0,00;1,0000;0,00;1.506,30;346,59;
1.852,89;0,00;1,0000;0,00;2.033,02;467,79;
2.500,81;0,00;1,0000;0,00;2.164,22;497,98;
2.662,20;0,00;1,0000;0,00;2.685,82;618,00;
3.303,82;0,00;1,0000;0,00;2.998,11;689,86;
3.687,97;0,00;1,0000;0,00;959,97;220,88;
1.180,85;0,00;1,0000;0,00;1.071,75;246,60;
1.318,35;0,00;1,0000;0,00;1.168,13;268,78;
1.436,91;0,00;1,0000;0,00;1.269,27;292,05;
1.561,32;0,00;1,0000;0,00;1.382,17;318,03;
1.700,20;0,00;1,0000;0,00;786,87;181,05;
967,92;0,00;1,0000;0,00;890,06;204,80;
1.094,86;0,00;1,0000;0,00;1.148,07;264,17;
1.412,24;0,00;1,0000;0,00;714,54;164,41;
878,95;0,00;1,0000;0,00;215,48;49,58;
265,06;0,00;1,0000;0,00;283,70;65,27;
348,97;0,00;1,0000;0,00;576,97;132,76;
709,73;0,00;1,0000;0,00;834,98;192,12;
1.027,10;0,00;1,0000;0,00;210,36;48,40;
258,76;0,00;1,0000;0,00;201,88;46,45;
248,33;0,00;1,0000;0,00;231,75;53,32;
285,07;0,00;1,0000;0,00;241,92;55,66;
297,58;0,00;1,0000;0,00;225,38;51,85;
277,23;3.172,03;1,0000;3.172,03;3.412,44;785,20;
4.197,64;0,00;1,0000;0,00;179,39;41,27;
220,66;0,00;1,0000;0,00;209,56;48,21;
257,77;0,00;1,0000;0,00;146,57;33,72;
180,29;0,00;1,0000;0,00;104,45;24,03;
128,48;0,00;1,0000;0,00;135,20;31,10;
166,30;0,00;1,0000;0,00;71,06;16,35;
87,41;0,00;1,0000;0,00;103,19;23,74;
126,93;0,00;1,0000;0,00;133,36;30,68;
164,04;0,00;1,0000;0,00;70,37;16,19;
86,56;0,00;1,0000;0,00;79,35;18,25;
97,60;0,00;1,0000;0,00;82,10;18,89;
100,99;0,00;1,0000;0,00;71,80;16,52;
88,32;0,00;1,0000;0,00;1.292,88;297,49;
1.590,37;0,00;1,0000;0,00;1.246,37;286,78;
1.533,15;0,00;1,0000;0,00;46,34;10,66;
57,00;0,00;1,0000;0,00;44,39;10,21;
54,60;0,00;1,0000;0,00;54,81;12,61;
67,42;0,00;1,0000;0,00;65,02;14,96;
79,98;0,00;1,0000;0,00;39,19;9,01;
48,20;0,00;1,0000;0,00;37,79;8,69;
46,48;0,00;1,0000;0,00;372,64;85,74;
458,38;0,00;1,0000;0,00;62,89;14,47;
77,36;0,00;1,0000;0,00;96,59;22,22;
118,81;0,00;1,0000;0,00;127,68;29,37;
157,05;0,00;1,0000;0,00;52,51;12,08;
64,59;0,00;1,0000;0,00;62,96;14,48;
77,44;0,00;1,0000;0,00;38,25;8,80;
47,05;0,00;1,0000;0,00;118,42;27,24;
145,66;0,00;1,0000;0,00;222,50;51,19;
273,69;0,00;1,0000;0,00;70,20;16,15;
86,35;0,00;1,0000;0,00;81,58;18,77;
100,35;0,00;1,0000;0,00;79,16;18,21;
97,37;0,00;1,0000;0,00;145,32;33,43;
178,75;0,00;1,0000;0,00;140,83;32,40;
173,23;0,00;1,0000;0,00;58,48;13,45;
71,93;0,00;1,0000;0,00;48,29;11,11;
59,40;0,00;1,0000;0,00;59,60;13,71;
73,31;0,00;1,0000;0,00;56,02;12,89;
68,91;0,00;1,0000;0,00;69,96;16,09;
86,05;0,00;1,0000;0,00;39,98;9,19;
49,17;0,00;1,0000;0,00;46,60;10,72;
57,32;0,00;1,0000;0,00;22,42;5,15;
27,57;0,00;1,0000;0,00;52,33;12,04;
64,37;0,00;1,0000;0,00;61,73;14,20;
75,93;0,00;1,0000;0,00;61,73;14,20;
75,93;0,00;1,0000;0,00;140,93;32,42;
173,35;8.841,52;1,0000;8.841,52;8.917,66;2.051,95;
10.969,61;2.494,47;1,0000;2.494,47;2.513,76;578,41;
3.092,17;7.417,53;1,0000;7.417,53;7.474,72;1.719,93;
9.194,65;4.945,02;1,0000;4.945,02;4.983,26;1.146,64;
6.129,90;1.585,47;1,0000;1.585,47;1.604,76;369,25;
1.974,01;7.080,13;1,0000;7.080,13;7.099,42;1.633,57;
8.732,99;4.924,89;1,0000;4.924,89;4.950,61;1.139,13;
6.089,74;2.511,02;1,0000;2.511,02;2.530,31;582,22;
3.112,53;0,00;1,0000;0,00;211,99;48,77;
260,76;0,00;1,0000;0,00;122,05;28,08;
150,13;0,00;1,0000;0,00;7,85;1,80;
9,65;0,00;1,0000;0,00;9,41;2,16;
11,57;0,00;1,0000;0,00;18,06;4,15;
22,21;0,00;1,0000;0,00;19,29;4,43;
23,72;0,00;1,0000;0,00;5,57;1,28;
6,85;0,00;1,0000;0,00;11,87;2,73;
14,60;0,00;1,0000;0,00;34,06;7,83;
41,89;0,00;1,0000;0,00;22,70;5,22;
27,92;0,00;1,0000;0,00;17,19;3,95;
