(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
ABRAÇADEIRA GUIA PARA MASTROS SIMPLES PARA DUAS DESCIDA 1 1/2" ;MATED-12025 ;U     ;1,0000000;14,49;14,49;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
ABRAÇADEIRA GUIA PARA MASTROS SIMPLES PARA DUAS DESCIDA 2" ;MATED-12024 ;U     ;1,0000000;14,49;14,49;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
ABRAÇADEIRA GUIA PARA MASTROS SIMPLES PARA UMA DESCIDA 1 1/2" ;MATED-12021 ;U     ;1,0000000;7,88;7,88;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
ABRAÇADEIRA GUIA PARA MASTROS SIMPLES PARA UMA DESCIDA 2" ;MATED-12022 ;U     ;1,0000000;8,38;8,38;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
ABRIGO DE HIDRANTE PARA INCÊNDIO EXTERNO EM CHAPA DE AÇO CARBONO (LARGURA: 45CM/ALTURA: 60CM/ PROFUNDIDADE: 17CM) ;MATED-12142 ;U     ;1,0000000;129,55;129,55;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
ABRIGO EM CHAPA TIPO EXTERNO 1 PORTA DE AÇO CARBONO, COMPLETO, VIDRO TRANSPARENTE, COM A INSCRIÇÃO "INCÊNDIO", SUPORTE BASCULANTE PARA MANGUEIRA PINTADO DE VERMELHO NAS DIMENSÕES 75 X 30 X 25 CM ;MATED-13044 ;U     ;1,0000000;94,40;94,40;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Abrigo de hidrante para incêndio externo em chapa de aço carbono (largura: 0,60 m / altura: 0,90 m / profundidade : 0,17 m) ;MATED-11484 ;U     ;1,0000000;201,56;201,56;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
AC-ARMÁRIO (71 X 52 X 350 CM) EM MADEIRA MACIÇA, COM PORTAS E PUXADORES, SOB BANCADA DO LABORATORIO COM PRATELEIRA, REVESTIDO EM LAMINADO MELAMÍNICO - FORNECIMENTO E INSTALAÇÃO ;MATED-11110 ;cj    ;1,0000000;560,90;560,90;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
ACIONADOR MANUAL DE ALARME DE INCÊNDIO ( ALTURA: 89MM/LARGURA: 93MM/PROFUNDIDADE: 26,5  MM/TENSÃO: 17-28 V) ;MATED-11480 ;U     ;1,0000000;99,62;99,62;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
ADAPTADOR EM LATAO P/ INSTALACAO PREDIAL DE COMBATE A INCENDIO ENGATE RAPIDO 1 1/2" X ROSCA INTERNA 5 FIOS 2 1 /2" ;MATED-12069 ;U     ;1,0000000;33,61;33,61;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
ADAPTADOR EM LATAO P/ INSTALACAO PREDIAL DE COMBATE A INCENDIO ENGATE RAPIDO 2 1/2" X ROSCA INTERNA 5 FIOS 2 1 /2" ;MATED-12071 ;U     ;1,0000000;42,95;42,95;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Adaptador soldável de PVC marrom com flanges e anel para caixa dágua para água fria (diâmetro da parte roscável: 1/2 " / diâmetro da parte soldável: 20,00 mm) ;MATED-11590 ;U     ;1,0000000;9,80;9,80;
ADESIVO PARA TUBO DE PVC RÍGIDO ;MATED-11613 ;Kg    ;0,0044000;43,05;0,18;
SOLUÇÃO LIMPADORA PARA PVC RÍGIDO ;MATED-11589 ;l     ;0,0020000;29,49;0,05;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Adaptador soldável de PVC marrom com flanges e anel para caixa dágua para água fria (diâmetro da parte roscável: 3/4 " / diâmetro da parte soldável: 25,00 mm) ;MATED-11591 ;U     ;1,0000000;12,68;12,68;
ADESIVO PARA TUBO DE PVC RÍGIDO ;MATED-11613 ;Kg    ;0,0052800;43,05;0,22;
SOLUÇÃO LIMPADORA PARA PVC RÍGIDO ;MATED-11589 ;l     ;0,0024000;29,49;0,07;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Adaptador soldável de PVC marrom com flanges e anel para caixa dágua para água fria (diâmetro da parte roscável: 1 " / diâmetro da parte soldável: 32,00 mm) ;MATED-11592 ;U     ;1,0000000;15,97;15,97;
ADESIVO PARA TUBO DE PVC RÍGIDO ;MATED-11613 ;Kg    ;0,0070000;43,05;0,30;
SOLUÇÃO LIMPADORA PARA PVC RÍGIDO ;MATED-11589 ;l     ;0,0030000;29,49;0,08;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Adaptador soldável de PVC marrom com flanges e anel para caixa dágua para água fria (diâmetro da parte roscável: 1 1/4 " / diâmetro da parte soldável: 40,00 mm) ;MATED-11593 ;U     ;1,0000000;25,90;25,90;
ADESIVO PARA TUBO DE PVC RÍGIDO ;MATED-11613 ;Kg    ;0,0088000;43,05;0,37;
SOLUÇÃO LIMPADORA PARA PVC RÍGIDO ;MATED-11589 ;l     ;0,0040000;29,49;0,11;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Adaptador soldável de PVC marrom com flanges e anel para caixa dágua para água fria (diâmetro da parte roscável: 1 1/2 " / diâmetro da parte soldável: 50,00 mm) ;MATED-11594 ;U     ;1,0000000;29,87;29,87;
ADESIVO PARA TUBO DE PVC RÍGIDO ;MATED-11613 ;Kg    ;0,0123000;43,05;0,52;
SOLUÇÃO LIMPADORA PARA PVC RÍGIDO ;MATED-11589 ;l     ;0,0060000;29,49;0,17;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Adaptador soldável de PVC marrom com flanges e anel para caixa dágua para água fria (diâmetro da parte roscável: 2 " / diâmetro da parte soldável: 60,00 mm) ;MATED-11595 ;U     ;1,0000000;36,32;36,32;
ADESIVO PARA TUBO DE PVC RÍGIDO ;MATED-11613 ;Kg    ;0,0167000;43,05;0,71;
SOLUÇÃO LIMPADORA PARA PVC RÍGIDO ;MATED-11589 ;l     ;0,0070000;29,49;0,20;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
CESTA BÁSICA/ ALIMENTAÇÃO - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13096 ;hora  ;1,0000000;1,03;1,03;
EXAMES - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13099 ;hora  ;1,0000000;0,55;0,55;
SEGURO - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13098 ;hora  ;1,0000000;0,06;0,06;
TRANSPORTE - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13097 ;hora  ;1,0000000;0,79;0,79;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
CESTA BÁSICA/ ALIMENTAÇÃO - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13096 ;hora  ;1,0000000;1,03;1,03;
EXAMES - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13099 ;hora  ;1,0000000;0,55;0,55;
SEGURO - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13098 ;hora  ;1,0000000;0,06;0,06;
TRANSPORTE - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13097 ;hora  ;1,0000000;0,79;0,79;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
CESTA BÁSICA/ ALIMENTAÇÃO - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13096 ;hora  ;1,0000000;1,03;1,03;
EXAMES - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13099 ;hora  ;1,0000000;0,55;0,55;
SEGURO - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13098 ;hora  ;1,0000000;0,06;0,06;
TRANSPORTE - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13097 ;hora  ;1,0000000;0,79;0,79;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
CESTA BÁSICA/ ALIMENTAÇÃO - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13096 ;hora  ;1,0000000;1,03;1,03;
EXAMES - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13099 ;hora  ;1,0000000;0,55;0,55;
SEGURO - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13098 ;hora  ;1,0000000;0,06;0,06;
TRANSPORTE - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13097 ;hora  ;1,0000000;0,79;0,79;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
CESTA BÁSICA/ ALIMENTAÇÃO - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13096 ;hora  ;1,0000000;1,03;1,03;
EXAMES - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13099 ;hora  ;1,0000000;0,55;0,55;
SEGURO - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13098 ;hora  ;1,0000000;0,06;0,06;
TRANSPORTE - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13097 ;hora  ;1,0000000;0,79;0,79;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
CESTA BÁSICA/ ALIMENTAÇÃO - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13096 ;hora  ;1,0000000;1,03;1,03;
EXAMES - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13099 ;hora  ;1,0000000;0,55;0,55;
SEGURO - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13098 ;hora  ;1,0000000;0,06;0,06;
TRANSPORTE - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13097 ;hora  ;1,0000000;0,79;0,79;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
CESTA BÁSICA/ ALIMENTAÇÃO - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13096 ;hora  ;1,0000000;1,03;1,03;
EXAMES - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13099 ;hora  ;1,0000000;0,55;0,55;
SEGURO - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13098 ;hora  ;1,0000000;0,06;0,06;
TRANSPORTE - HORISTA ( ENCARGOS COMPLEMENTARES) ;MATED-13097 ;hora  ;1,0000000;0,79;0,79;
(F)Materiais;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
