(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48151;ABERTURA MANUAL DE POÇO COMPOCEIRO COM ENCARGOS COMPLEMENTARES ;ED-50383 ;hora  ;4,0000000;18,41;73,64;
Serviço: ED-48151;ABERTURA MANUAL DE POÇO COMSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;4,0000000;15,71;62,84;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48152;ABERTURA MANUAL DE POÇO COMPOCEIRO COM ENCARGOS COMPLEMENTARES ;ED-50383 ;hora  ;5,1300000;18,41;94,44;
Serviço: ED-48152;ABERTURA MANUAL DE POÇO COMSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;5,1300000;15,71;80,59;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-51012;ABRAÇADEIRA GUIA PARA MASTROS SIMPLESAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,1000000;16,84;1,68;
Serviço: ED-51012;ABRAÇADEIRA GUIA PARA MASTROS SIMPLESELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,1000000;22,30;2,23;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-51013;ABRAÇADEIRA GUIA PARA MASTROS SIMPLESAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,1000000;16,84;1,68;
Serviço: ED-51013;ABRAÇADEIRA GUIA PARA MASTROS SIMPLESELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,1000000;22,30;2,23;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-51010;ABRAÇADEIRA GUIA PARA MASTROS SIMPLESAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,1000000;16,84;1,68;
Serviço: ED-51010;ABRAÇADEIRA GUIA PARA MASTROS SIMPLESELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,1000000;22,30;2,23;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-51011;ABRAÇADEIRA GUIA PARA MASTROS SIMPLESAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,1000000;16,84;1,68;
Serviço: ED-51011;ABRAÇADEIRA GUIA PARA MASTROS SIMPLESELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,1000000;22,30;2,23;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50178;ABRIGO EM CHAPA TIPO EXTERNO 1 PORTAARGAMASSA, TRAÇO 1:5 ( CIMENTO E AREIA), PREPARO MECÂNICO ;ED-48304 ;m3    ;0,0090000;348,14;3,13;
Serviço: ED-50178;ABRIGO EM CHAPA TIPO EXTERNO 1 PORTAPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;3,0000000;22,09;66,27;
Serviço: ED-50178;ABRIGO EM CHAPA TIPO EXTERNO 1 PORTASERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;3,0000000;15,71;47,13;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50179;ABRIGO EM CHAPA TIPO EXTERNO 1 PORTAAJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;3,0000000;16,32;48,96;
Serviço: ED-50179;ABRIGO EM CHAPA TIPO EXTERNO 1 PORTAARGAMASSA, TRAÇO 1:3 ( CIMENTO E AREIA), PREPARO MECÂNICO ;ED-48302 ;m3    ;0,0090000;458,72;4,12;
Serviço: ED-50179;ABRIGO EM CHAPA TIPO EXTERNO 1 PORTABOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;3,0000000;21,60;64,80;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50177;ABRIGO EM CHAPA TIPO EXTERNO 1 PORTAARGAMASSA, TRAÇO 1:5 ( CIMENTO E AREIA), PREPARO MECÂNICO ;ED-48304 ;m3    ;0,0090000;348,14;3,13;
Serviço: ED-50177;ABRIGO EM CHAPA TIPO EXTERNO 1 PORTAPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;3,0000000;22,09;66,27;
Serviço: ED-50177;ABRIGO EM CHAPA TIPO EXTERNO 1 PORTASERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;3,0000000;15,71;47,13;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50180;ACIONADOR MANUAL DE ALARME DEAJUDANTE DE ELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50362 ;hora  ;0,2900000;16,84;4,88;
Serviço: ED-50180;ACIONADOR MANUAL DE ALARME DEELETRICISTA COM ENCARGOS COMPLEMENTARES ;ED-50373 ;hora  ;0,2900000;22,30;6,46;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50181;ADAPTADOR EM LATAO P/ INSTALACAOAJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,5000000;16,32;8,16;
Serviço: ED-50181;ADAPTADOR EM LATAO P/ INSTALACAOBOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,5000000;21,60;10,80;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50182;ADAPTADOR EM LATAO P/ INSTALACAOAJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,5000000;16,32;8,16;
Serviço: ED-50182;ADAPTADOR EM LATAO P/ INSTALACAOBOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,5000000;21,60;10,80;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49844;ADAPTADOR SOLDÁVEL DE PVC MARROMAJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,0900000;16,32;1,46;
Serviço: ED-49844;ADAPTADOR SOLDÁVEL DE PVC MARROMBOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,0900000;21,60;1,94;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49845;ADAPTADOR SOLDÁVEL DE PVC MARROMAJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,0900000;16,32;1,46;
Serviço: ED-49845;ADAPTADOR SOLDÁVEL DE PVC MARROMBOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,0900000;21,60;1,94;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49846;ADAPTADOR SOLDÁVEL DE PVC MARROMAJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,0900000;16,32;1,46;
Serviço: ED-49846;ADAPTADOR SOLDÁVEL DE PVC MARROMBOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,0900000;21,60;1,94;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49847;ADAPTADOR SOLDÁVEL DE PVC MARROMAJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,1400000;16,32;2,28;
Serviço: ED-49847;ADAPTADOR SOLDÁVEL DE PVC MARROMBOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,1400000;21,60;3,02;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49848;ADAPTADOR SOLDÁVEL DE PVC MARROMAJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,1400000;16,32;2,28;
Serviço: ED-49848;ADAPTADOR SOLDÁVEL DE PVC MARROMBOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,1400000;21,60;3,02;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49849;ADAPTADOR SOLDÁVEL DE PVC MARROMAJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,1400000;16,32;2,28;
